state_date,state_step,factor_1,factor_2,prediction_date,target_quarter,stage,cutoff_month,fallback_used
,24,1.1943356460004206,0.7421790474534183,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,25,1.3891626552300056,0.984916739909644,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,26,1.2170444217636773,0.7459024200568015,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,27,1.094753844032744,0.8759071555360463,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,28,0.9967577867255242,-0.2947906077635709,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,29,0.7646076363366804,-0.48878682612987234,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,30,0.8250146317219748,-0.07793979939339638,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,31,1.0017019926578825,-0.21308677755452132,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,32,0.7917312939144807,-0.13868745929032458,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,33,0.704682991226829,-0.4277882113074704,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,34,0.692392267494784,-0.4164454123384609,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,35,0.575256506180356,-0.7019179976664052,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,36,-0.02023191457002621,-1.6842795432775972,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,37,-0.5324529384682616,-2.0800905596407864,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,38,-0.6399054494266458,-1.3193396183690362,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,39,-0.898981637433529,-1.5934545151174926,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,40,-1.1249903166779864,-1.221079241526558,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,41,-0.9745077544773109,-0.21061186806189308,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,42,-0.815636604958729,0.4212623987613726,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,43,-0.6732178770431166,0.8999403084278863,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,44,-0.8187128389229485,1.1821272332864696,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,45,-0.5406472666059079,1.715720473216137,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,46,-0.6860786310600611,1.8709437362205599,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,47,-0.9187344379410667,1.2774976828921356,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,48,-1.2525298979965407,0.4574824513491772,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,49,-1.3235172954629442,0.8306951938544095,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,50,-1.529139536565894,0.998777778467975,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,51,-1.7976823995063913,0.9079820704960518,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,52,-1.6101442847939347,1.3120986428148007,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,53,-1.824004613172842,0.8346736354607259,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,54,-2.2925441611899418,0.410262477643835,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,55,-2.655728323621374,0.40739919388215073,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,56,-2.7482169097575992,1.0016202812620603,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,57,-2.8394575375094524,0.6767639504060878,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,58,-3.1394516775913224,0.10893692624028939,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,59,-3.5942466029416607,-0.7629642292717221,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,60,-3.827501201899177,-1.2062817626280693,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,61,-4.2067346605140346,-1.7241882825706403,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,62,-4.424525344559213,-1.8872197554590562,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,63,-4.626535149394446,-2.074969967524001,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,64,-4.07151470747682,-0.9368988919791803,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,65,-3.4298772381310045,0.16611815245099737,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,66,-2.1541941091084325,2.219987180646031,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,67,-1.1996767294795883,3.9706004159556256,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,68,-0.3868597856220538,5.289016502547462,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,69,-0.2474452031225087,6.002988104352436,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,70,-0.0554118538482799,6.4760158403889685,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,71,0.4286417961406595,4.102514164008028,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,72,0.09082013486224194,2.9394954293479962,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,73,-0.3065688155683867,2.044561099734185,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,74,-0.6187105415150185,1.7948063260900378,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,75,-0.49204629724019505,2.1786977122325686,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,76,-0.7866909835027195,1.2383460006190958,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,77,-0.5965896099223125,1.14991487924011,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,78,-0.7799710860069737,0.38590327633246496,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,79,-1.0404227498435024,-0.20906301567854546,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,80,-1.1594931118171747,0.11645617186957247,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,81,-1.3640429085324632,-0.05560568078937442,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,82,-1.2134336005948758,0.0827967348128501,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,83,-1.2341660426463266,-0.767448987628261,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,84,-1.5192983395200597,-1.3617221402848154,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,85,-1.1482341035960517,-0.08816087696843206,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,86,-1.0280993003966692,0.8445486243486902,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,87,-1.2171825662746583,0.780158009872334,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,88,-1.3599958730041772,0.5456741596313128,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,89,-1.4855309382844972,0.5795148285481688,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,90,-1.7321124668704344,0.3076740415617524,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,91,-1.866166048602885,0.07654043235551698,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,92,-2.2580418990873277,-0.6125769489943698,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,93,-2.477808765281085,-1.2998070184397732,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,94,-2.5891729981160934,-1.5088266547849243,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,95,-2.6350846859747117,-1.4585010713216238,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,96,-2.632511512552516,-1.2948391065780114,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,97,-2.5862188171015568,-1.0610896302847215,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,98,-2.5091106631365756,-0.824276245693606,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,99,-2.4387825057836454,-0.19166125845474508,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,100,-2.325233764882742,-0.06874844700561236,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,101,-2.1997603497285545,0.003606469459218109,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,102,-1.9292395460593381,-0.8806396940669456,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,103,-1.7882749410886358,-0.7387033366118442,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,104,-1.6499075360573014,-0.5848404360820525,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,105,-1.6534931153667374,0.2340028662774269,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,106,-1.5262517911840938,0.2642875130014854,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,107,-1.4027478508638318,0.2521250859191061,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,108,-1.196357560740922,-0.1502507657719737,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,109,-1.08343351635192,-0.14054811426224778,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,110,-0.9781209623877637,-0.12042712256465125,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,111,-0.8730150833611489,-0.12552573532223055,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,112,-0.7828512492126812,-0.09884219666578813,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,113,-0.7000672396953705,-0.07418547037113668,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,114,-0.5083255776203197,-0.48104961806769747,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,115,-0.44056821923322675,-0.40563979291804947,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,116,-0.3806972742960113,-0.32248884218319934,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,117,-0.15873871943473183,-0.8530212412186183,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,118,-0.1145161024826444,-0.7020789316911058,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,119,-0.0781818054755231,-0.5473573184641,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,120,-0.1211929012598301,-0.14895202033871435,2011-01-01,2011-Q1,Early,2011-01-31,full_ar1
,0,3.3835053639952832,-1.9395549983102658,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,1,3.3976413330076976,-1.9438088865578973,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,2,3.3724328139876616,-1.906943807485426,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,3,3.264930227730137,-1.661707408526284,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,4,3.3028370357461108,-1.8110880512561813,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,5,3.2089368734486734,-2.059636078681554,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,6,3.2438167048023203,-2.3165864963284433,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,7,3.0839822337007794,-2.424056994519205,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,8,2.905489746165038,-2.6223654436858452,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,9,2.8634651335213492,-2.4055877736195566,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,10,2.808263859596251,-2.324779205251674,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,11,2.9236589426129753,-1.7551175257988427,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,12,2.7129509047919296,-1.1565784700905113,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,13,2.5229211366335993,-1.0370450363116517,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,14,2.522282348533274,-0.8618893815847976,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,15,2.3089588751970123,-0.8923822427686776,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,16,2.245282047142113,-0.910773855421767,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,17,2.2331142497944367,-0.2680821605252727,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,18,2.278899056463597,-0.49024230612803055,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,19,2.078114602777902,0.09160706229912306,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,20,1.8079471823924045,0.037526755429906244,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,21,1.6451247206656419,0.6773270067934657,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,22,1.9020372553165046,0.9552816502392459,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,23,1.6768036282295213,0.6912054788447983,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,24,1.5581828383581147,0.8453343272580841,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,25,1.3189585688230099,-0.4215966981266236,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,26,1.118709615972072,-0.49826101596498945,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,27,1.1842888627889252,-0.11678948700943206,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,28,1.322706199513361,-0.3308114161619713,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,29,1.1120540158908234,-0.2094755932326284,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,30,0.9911616361104225,-0.49957795087916274,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,31,0.9546651411359969,-0.5109025555235646,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,32,0.8367573180862267,-0.7434605205849842,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,33,0.03277158932846952,-1.8235701497570955,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,34,-0.6269690750611191,-2.273734927049882,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,35,-0.6311182776491995,-1.4050157200945463,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,36,-0.9529394078943061,-1.6971523182540453,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,37,-1.1476101031583543,-1.26234779929481,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,38,-0.9327428870903858,-0.26412798558531747,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,39,-0.7407181341462354,0.3353860481261733,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,40,-0.5551782431869068,0.813699242699971,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,41,-0.6250804385816651,1.2169316382871243,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,42,-0.29515497785311673,1.7165951758133424,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,43,-0.39782496073017687,1.9521542015231508,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,44,-0.703721261926767,1.3525199048885708,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,45,-1.1831875754246544,0.46128314654515534,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,46,-1.189695771772551,0.9143555087965264,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,47,-1.3433944260572641,1.1817312489284537,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,48,-1.6204982506543435,1.143282864394135,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,49,-1.349345694286633,1.5962799843392002,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,50,-1.5802837339442284,1.1784404384265958,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,51,-2.0479876263112775,0.8858283489304044,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,52,-2.2927180602829607,1.1105516198023184,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,53,-2.3024172740928863,1.785700784093397,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,54,-2.403834186557289,1.4844219979963458,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,55,-2.848391047200249,0.8079966952760427,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,56,-3.3660390010231382,0.008139871692127931,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,57,-3.5798119120961522,-0.3305027548802942,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,58,-3.9065920347966863,-0.6782234841470203,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,59,-4.1269376447739425,-0.8099624714342827,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,60,-4.421320685391745,-1.085870019542415,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,61,-3.9280314640125553,-0.2574157769858245,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,62,-3.1348027144114523,0.8341561747364329,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,63,-1.6365199160000243,2.779873138261429,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,64,-0.5288827657309254,4.423007081966927,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,65,0.376826646568872,5.610413198488479,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,66,0.4836600857662304,6.167864304407934,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,67,0.659855243756495,6.532128467020269,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,68,0.9899889374109662,4.040095370047507,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,69,0.5160222073210592,2.86613055786637,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,70,0.05992291216941735,2.0628353810129676,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,71,-0.2718454783588917,1.8828457523266848,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,72,-0.1568126790618388,2.207956279627291,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,73,-0.5164936940514961,1.3134417959206826,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,74,-0.37446299613778034,1.1384856153864822,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,75,-0.6129065059255843,0.4087874233141545,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,76,-0.905490519910735,-0.12300586140005222,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,77,-1.0803969801115767,0.11578838777046596,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,78,-1.402616809240867,-0.16727424755072823,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,79,-1.191784344616712,0.01677252964363346,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,80,-1.2681298197796536,-0.8320941982233563,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,81,-1.5982247567557404,-1.385757713642164,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,82,-1.0970844822836678,-0.11041058155162609,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,83,-0.8841772739376862,0.8586017483331054,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,84,-1.1235180314508064,0.7735349213453364,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,85,-1.3058585084276868,0.5396400644085277,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,86,-1.4621684046349126,0.5542592891049078,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,87,-1.7709313486747855,0.2754488200899545,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,88,-1.9098931050293162,0.08054644670898088,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,89,-2.3376640952895626,-0.5248398286090307,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,90,-2.546014009258395,-1.0985444892516005,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,91,-2.9216468287659247,-1.6508290264315704,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,92,-3.100877967514321,-2.113227259176705,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,93,-3.347556287904919,-2.7484205712249694,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,94,-3.4131843696030257,-2.8192939596635673,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,95,-3.3989795602431148,-2.63822048350806,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,96,-3.3268899554836286,-2.3577001066465324,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,97,-3.203048702194893,-2.015878040373698,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,98,-3.0444597926960957,-1.6778103604763457,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,99,-2.8874442008629937,-0.8248840569540244,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,100,-2.69271702922234,-0.599185158983187,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,101,-2.488409218587328,-0.43274792575165244,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,102,-2.1753579741932043,-1.2056123520395459,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,103,-1.9649434184770405,-1.0335453945850335,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,104,-1.7623374844938642,-0.861910523245706,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,105,-1.688970482400371,0.03711772580294448,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,106,-1.508771013602832,0.1051486298519107,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,107,-1.338604073670048,0.1331457783338555,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,108,-1.1133460910525674,-0.22209847062120436,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,109,-0.9664097838407512,-0.19601044818006463,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,110,-0.8327265028231156,-0.16693809187312747,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,111,-0.708031090204086,-0.15880217220952592,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,112,-0.5998102462314967,-0.13102398973268126,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,113,-0.5035028996283968,-0.10609546924238777,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,114,-0.33074882256657956,-0.521195315209853,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,115,-0.2572404308765,-0.46154339810996264,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,116,-0.1947112459375146,-0.3940315923235078,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,117,-0.015819890905512196,-0.9498267115726732,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,118,0.02629521813537474,-0.8297098881550473,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,119,0.05878124730698291,-0.7014990061209104,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,120,0.025384550344166222,-0.2952521936893149,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,121,0.043744889993129706,-0.2122693633146329,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,122,0.05728679192460691,-0.15169858030307987,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,123,0.22573219173931686,-0.8882311278773618,2011-04-01,2011-Q2,Early,2011-04-30,full_ar1
,0,-4.030317771742941,-2.353083270410182,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,1,-4.074402137911829,-2.484461360692991,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,2,-3.9426255951269615,-2.722593184984088,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,3,-3.9377400938842633,-3.015626733783932,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,4,-3.7199656411984434,-3.1230646973287586,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,5,-3.568726620015096,-3.1987236938011265,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,6,-3.5093639585030467,-2.899370560009611,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,7,-3.4473804946821724,-2.779475818827907,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,8,-3.4180299302065063,-2.349944753664217,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,9,-2.9299292286522447,-2.0464649553275964,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,10,-2.708194901460895,-1.9049377249775978,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,11,-2.7108435260095534,-1.6759149041725379,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,12,-2.486251765914956,-1.7063785349690281,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,13,-2.529503986015929,-1.511967187673517,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,14,-2.5573315603934907,-0.7762311952586335,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,15,-2.519808872591635,-1.1241142108707052,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,16,-2.2127857234879285,-0.6459757828298417,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,17,-1.9937301071493585,-0.589379096373045,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,18,-1.880548273315956,0.20925175229963544,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,19,-2.089309202248376,0.41494664097474376,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,20,-1.9074951949203893,0.2536948483780717,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,21,-1.8391302781760288,0.5309383087234121,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
,22,-1.8483532585341573,-0.3832758105771451,2011-07-01,2011-Q3,Early,2011-07-31,full_ar1
